,GEOID,race_prop,race_nonw,tenu_p-rent,tenu_rent,tenu_tot
1871,410390035002,0.13431734317343175,182,0.2230769230769231,116,520
1872,410659704002,0.029193205944798302,55,0.46303501945525294,357,771
1873,410192000003,0.13908872901678657,174,0.13957597173144876,79,566
1874,410390046001,0.017813765182186234,22,0.46613545816733065,234,502
1875,410191500002,0.09128745837957825,329,0.42810188989317993,521,1217
1876,410470027003,0.19825072886297376,340,0.1694290976058932,92,543
1877,410530202023,0.06826923076923076,142,0.7434782608695653,684,920
1878,410470016041,0.38065661047027505,1287,0.8254665203073546,752,911
1879,410290030014,0.14060446780551905,107,0.24092409240924093,73,303
1880,410599501002,0.08459214501510574,56,0.23412698412698413,59,252
1881,410510092012,0.36157846436219027,1182,0.4533450704225352,515,1136
1882,410510031003,0.14785992217898833,152,0.09045226130653267,36,398
1883,410670305022,0.1381011097410604,112,0.45576407506702415,170,373
1884,410670315044,0.1620732208967503,394,0.4095427435387674,412,1006
1885,410390019021,0.16782522343594836,338,0.6469816272965879,493,762
1886,410459704001,0.1238148354712772,222,0.7067961165048544,364,515
1887,410499702005,0.02517162471395881,11,0.11176470588235295,19,170
1888,410510003011,0.18467153284671534,253,0.5758564437194127,353,613
1889,410510081003,0.25968672712283597,315,0.7925311203319502,382,482
1890,410510008013,0.2508250825082508,304,0.4467680608365019,235,526
1891,410510083021,0.6380090497737556,1692,0.34979973297730305,262,749
1892,410670317046,0.28816300129366107,891,0.21722488038277513,227,1045
1893,410579603002,0.08883116883116883,171,0.2191958495460441,169,771
1894,410510027021,0.106539309331374,145,0.5732758620689655,399,696
1895,410170012004,0.010487528344671202,37,0.18964204112718963,249,1313
1896,410430301001,0.06934001670843776,83,0.3576158940397351,162,453
1897,410050237004,0.06125574272588055,80,0.0326530612244898,16,490
1898,410050205032,0.053420805998125584,57,0.18181818181818182,76,418
1899,410290013012,0.12086092715231789,73,0.11428571428571428,8,70
1900,410290026002,0.026378896882494004,33,0.23844731977818853,129,541
1901,410359714001,0.1392081736909323,109,0.28173374613003094,91,323
1902,410050219001,0.17041682036149022,462,0.640973630831643,632,986
1903,410019502002,0.09519572953736655,107,0.3933333333333333,177,450
1904,410390013013,0.058572949946751864,55,0.14201183431952663,48,338
1905,410470014013,0.20944309927360774,519,0.3950617283950617,288,729
1906,410510041021,0.1504599211563732,229,0.20035460992907803,113,564
1907,410510085002,0.4551323434473854,705,0.16056910569105692,79,492
1908,410510062003,0.05959684487291849,68,0.28761061946902655,130,452
1909,410279502001,0.09061696658097686,141,0.3614649681528662,227,628
1910,410170012001,0.013633265167007498,20,0.13446969696969696,71,528
1911,410170017004,0.07585568917668825,164,0.16150740242261102,120,743
1912,410030001004,0.16185625353706848,572,0.3588957055214724,468,1304
1913,410390009034,0.14374225526641884,232,0.027777777777777776,15,540
1914,410670308011,0.07829742511823437,149,0.31731843575418994,284,895
1915,410390003001,0.008210180623973728,10,0.26403326403326405,127,481
1916,410390030001,0.0248015873015873,25,0.26054590570719605,105,403
1917,410510018013,0.18196037539103233,349,0.7007042253521126,597,852
1918,410670329022,0.24241302738712064,655,0.09004739336492891,76,844
1919,410510006012,0.32825719120135366,388,0.4138817480719794,161,389
1920,410110005041,0.16040100250626566,128,0.553475935828877,207,374
1921,410050227101,0.13288447909284196,375,0.6780366056572379,815,1202
1922,410670318151,0.17913832199546487,553,0.10821643286573146,108,998
1923,410290013024,0.12672476397966595,349,0.35138387484957884,292,831
1924,410290013022,0.1319290465631929,357,0.009868421052631578,9,912
1925,410290022001,0.04584221748400853,43,0.19599109131403117,88,449
1926,410290030012,0.033460803059273424,35,0.09387755102040816,46,490
1927,410290030013,0.01089108910891089,11,0.183585313174946,85,463
1928,410290006012,0.03968253968253968,55,0.05319148936170213,30,564
1929,410050240001,0.0,0,0.044412607449856735,31,698
1930,410050218021,0.059001512859304085,117,0.6295907660020986,600,953
1931,410599513003,0.1111111111111111,110,0.47074468085106386,177,376
1932,410599501003,0.26490066225165565,240,0.20132013201320131,61,303
1933,410599501004,0.09760425909494233,110,0.26356589147286824,102,387
1934,410599511001,0.0,0,0.16455696202531644,39,237
1935,410599511002,0.16119096509240247,314,0.3277310924369748,234,714
1936,410599512004,0.0027816411682892906,2,0.352112676056338,100,284
1937,410599512001,0.08019545846507617,279,0.3469591226321037,348,1003
1938,410419518003,0.20346320346320346,235,0.20575221238938052,93,452
1939,410470107023,0.08185053380782918,230,0.32541133455210236,356,1094
1940,410470108013,0.07162726008344923,103,0.17938931297709923,94,524
1941,410050216014,0.1520408163265306,149,0.30149253731343284,101,335
1942,410050236003,0.26677577741407527,326,0.1824175824175824,83,455
1943,410050236002,0.03607060629316961,47,0.15169660678642716,76,501
1944,410050243021,0.008447043534762833,13,0.1273996509598604,73,573
1945,410050212002,0.1370757180156658,105,0.4657039711191336,129,277
1946,410050224003,0.26099706744868034,178,0.30980392156862746,79,255
1947,410359717001,0.028478437754271765,35,0.6815415821501014,336,493
1948,410359717004,0.0449438202247191,24,0.6260869565217392,144,230
1949,410359710002,0.037100456621004564,65,0.08615384615384615,56,650
1950,410639601001,0.01504149377593361,29,0.2701525054466231,248,918
1951,410670327001,0.07599309153713299,88,0.12903225806451613,60,465
1952,410670318041,0.24687373941105284,612,0.24053724053724054,197,819
1953,410510061002,0.11214953271028037,144,0.3737957610789981,194,519
1954,410510062002,0.22244897959183674,218,0.11363636363636363,40,352
1955,410510066012,0.010626992561105207,10,0.03755868544600939,16,426
1956,410510104051,0.19312436804853386,382,0.2697274031563845,188,697
1957,410219601001,0.15308370044052863,139,0.4265536723163842,151,354
1958,410279501002,0.15198618307426598,176,0.33860759493670883,107,316
1959,410279501004,0.02780269058295964,31,0.2563291139240506,81,316
1960,410279502004,0.14486486486486486,268,0.23739237392373924,193,813
1961,410279502002,0.30339138405132904,331,0.2697201017811705,106,393
1962,410279503006,0.042134831460674156,60,0.5068285280728376,334,659
1963,410279503004,0.01664145234493192,11,0.2869822485207101,97,338
1964,410279504004,0.21243523316062177,82,0.2,26,130
1965,410030010012,0.23291307232913072,351,0.9610778443113772,642,668
1966,410050205012,0.09298957126303592,321,0.3893129770992366,510,1310
1967,410050205043,0.06840974212034384,191,0.228270412642669,260,1139
1968,410050212003,0.07747395833333333,119,0.5572207084468664,409,734
1969,410170012003,0.03992484734617191,85,0.06109324758842444,57,933
1970,410510098042,0.268059181897302,308,0.3022113022113022,123,407
1971,410510095022,0.16404494382022472,146,0.23626373626373626,86,364
1972,410510104071,0.09527272727272727,262,0.12761020881670534,110,862
1973,410510020001,0.18238993710691823,203,0.9383954154727794,655,698
1974,410670317031,0.340437464946719,607,0.26148409893992935,148,566
1975,410670320011,0.0939115450890293,327,0.558675305975522,776,1389
1976,410510020005,0.1590909090909091,217,0.7113821138211383,525,738
1977,410510031002,0.18675123326286117,265,0.37732342007434944,203,538
1978,410510046022,0.030723488602576808,31,0.01485148514851485,6,404
1979,410510069002,0.07224025974025974,89,0.028112449799196786,14,498
1980,410510030001,0.13482280431432975,175,0.1831275720164609,89,486
1981,410510083011,0.5299539170506913,805,0.6685006877579092,486,727
1982,410670335001,0.10729166666666666,103,0.10122699386503067,33,326
1983,410670304011,0.13936781609195403,97,1.0,450,450
1984,410670305023,0.06335616438356165,74,0.5059288537549407,256,506
1985,410670305014,0.11322463768115942,125,0.17060367454068243,65,381
1986,410670307001,0.22621184919210055,126,0.80625,258,320
1987,410670315043,0.2091672046481601,324,0.946843853820598,570,602
1988,410670316121,0.2776424744276668,1140,0.5260039499670837,799,1519
1989,410670316091,0.3795293238700037,1016,0.3931837073981712,473,1203
1990,410670317051,0.4011142061281337,576,0.5557768924302788,279,502
1991,410390010022,0.12882096069868995,118,0.614963503649635,337,548
1992,410390018041,0.015783540022547914,14,0.2316715542521994,79,341
1993,410390019023,0.16480891719745222,414,0.41019955654101997,370,902
1994,410390019024,0.0921544209215442,74,0.5073313782991202,173,341
1995,410390004042,0.0640074211502783,69,0.2760416666666667,106,384
1996,410390007022,0.0783289817232376,90,0.13432835820895522,72,536
1997,410390009024,0.048180924287118974,49,0.26605504587155965,116,436
1998,410390009022,0.1142668428005284,173,0.08086785009861933,41,507
1999,410459703002,0.11336032388663968,84,0.3395638629283489,109,321
2000,410459704003,0.03329223181257707,27,0.5658914728682171,146,258
2001,410459704002,0.0031746031746031746,4,0.6864608076009501,289,421
2002,410333610001,0.0617816091954023,43,0.1903485254691689,71,373
2003,410333616003,0.08198489751887811,76,0.02242152466367713,10,446
2004,410333616006,0.029535864978902954,28,0.2150313152400835,103,479
2005,410333608001,0.022853957636566332,41,0.4059259259259259,274,675
2006,410333605003,0.15469613259668508,336,0.6931216931216931,786,1134
2007,410419504002,0.19676153091265947,401,0.5698324022346368,510,895
2008,410530203021,0.03322259136212625,40,0.10526315789473684,42,399
2009,410530203025,0.16244154565591928,660,0.36459175424413903,451,1237
2010,410710304003,0.1284019539427774,184,0.17857142857142858,85,476
2011,410710304004,0.3208168642951252,487,0.2727272727272727,138,506
2012,410710307011,0.07315175097276265,188,0.3134765625,321,1024
2013,410710305022,0.09377049180327869,143,0.3362521891418564,192,571
2014,410710305024,0.03943661971830986,42,0.4835164835164835,176,364
2015,410710309001,0.12745098039215685,390,0.15942028985507245,132,828
2016,410470107014,0.13854545454545455,381,0.5473251028806584,532,972
2017,410470015032,0.35392051557465093,659,0.7592067988668555,536,706
2018,410470016014,0.09659613615455381,105,0.19430051813471502,75,386
2019,410470016013,0.2119205298013245,480,0.627700127064803,494,787
2020,410470016032,0.31233362910381546,704,0.20404984423676012,131,642
2021,410470016034,0.5110984632896983,898,0.37738619676945667,257,681
2022,410619706003,0.07681940700808626,57,0.5532544378698225,187,338
2023,410430307002,0.09837962962962964,85,0.06842105263157895,26,380
2024,410430306001,0.0,0,0.31845238095238093,107,336
2025,410510059002,0.014955134596211365,15,0.3920792079207921,198,505
2026,410510059003,0.09533468559837728,94,0.5220949263502455,319,611
2027,410333605001,0.05860805860805861,64,0.6048951048951049,173,286
2028,410359702003,0.26978998384491115,501,0.19294117647058823,164,850
2029,410359708002,0.10576923076923077,99,0.22192513368983957,83,374
2030,410470105022,0.037316110513096516,104,0.24356435643564356,246,1010
2031,410470017022,0.16211878009630817,303,0.25120772946859904,156,621
2032,410470011001,0.08308004052684904,82,0.2786458333333333,107,384
2033,410470006002,0.12793876435210497,234,0.3812316715542522,260,682
2034,410470017012,0.15123859191655803,464,0.7329255861365953,719,981
2035,410470017031,0.11578947368421053,132,0.11168831168831168,43,385
2036,410470024002,0.07845631891433417,185,0.21390374331550802,200,935
2037,410470103041,0.3229912490055688,406,0.5440806045340051,216,397
2038,410470104001,0.05105105105105105,17,0.25,40,160
2039,410079512002,0.0061633281972265025,8,0.14375,69,480
2040,410079513002,0.06497175141242938,69,0.1975609756097561,81,410
2041,410079505003,0.18921703296703296,551,0.35460251046025104,339,956
2042,410079502004,0.11752988047808766,59,0.7622641509433963,202,265
2043,410079503002,0.30685920577617326,85,0.6470588235294118,33,51
2044,410079503003,0.11976911976911978,166,0.6991452991452991,409,585
2045,410079506002,0.09156050955414012,115,0.16129032258064516,65,403
2046,410079509006,0.0,0,0.8082595870206489,274,339
2047,410079509005,0.029595015576323987,19,0.7087378640776699,219,309
