grid_point,hhinc_low,x,y
366,70,7591381.0722,501533.79689999996
367,70,7591381.0722,490973.79689999996
368,70,7591381.0722,480413.79689999996
369,70,7591381.0722,469853.79689999996
370,43,7591381.0722,459293.79689999996
371,97,7601941.0722,754973.7969
372,97,7601941.0722,744413.7969
373,87,7601941.0722,733853.7969
374,87,7601941.0722,723293.7969
375,87,7601941.0722,712733.7969
376,453,7601941.0722,702173.7969
377,252,7601941.0722,691613.7969
378,505,7601941.0722,681053.7969
379,141,7601941.0722,670493.7969
380,70,7601941.0722,659933.7969
381,141,7601941.0722,649373.7969
382,101,7601941.0722,638813.7969
383,513,7601941.0722,628253.7969
384,132,7601941.0722,617693.7969
385,47,7601941.0722,607133.7969
386,47,7601941.0722,596573.7969
387,102,7601941.0722,586013.7969
388,107,7601941.0722,575453.7969
389,111,7601941.0722,564893.7969
390,278,7601941.0722,554333.7969
391,161,7601941.0722,543773.7969
392,211,7601941.0722,533213.7969
393,87,7601941.0722,522653.79689999996
394,87,7601941.0722,512093.79689999996
395,167,7601941.0722,501533.79689999996
396,167,7601941.0722,490973.79689999996
397,167,7601941.0722,480413.79689999996
398,167,7601941.0722,469853.79689999996
399,138,7601941.0722,459293.79689999996
400,138,7601941.0722,448733.79689999996
401,82,7612501.0722,797213.7969
402,82,7612501.0722,776093.7969
403,82,7612501.0722,765533.7969
404,97,7612501.0722,754973.7969
405,97,7612501.0722,744413.7969
406,97,7612501.0722,733853.7969
407,97,7612501.0722,723293.7969
408,142,7612501.0722,712733.7969
409,87,7612501.0722,702173.7969
410,8,7612501.0722,691613.7969
411,218,7612501.0722,681053.7969
412,439,7612501.0722,670493.7969
413,77,7612501.0722,659933.7969
414,57,7612501.0722,649373.7969
415,207,7612501.0722,638813.7969
416,116,7612501.0722,628253.7969
417,156,7612501.0722,617693.7969
418,529,7612501.0722,607133.7969
419,52,7612501.0722,596573.7969
420,259,7612501.0722,586013.7969
421,259,7612501.0722,575453.7969
422,300,7612501.0722,564893.7969
423,111,7612501.0722,554333.7969
424,163,7612501.0722,543773.7969
425,82,7612501.0722,533213.7969
426,336,7612501.0722,522653.79689999996
427,87,7612501.0722,512093.79689999996
428,459,7612501.0722,501533.79689999996
429,167,7612501.0722,490973.79689999996
430,167,7612501.0722,480413.79689999996
431,167,7612501.0722,469853.79689999996
432,138,7612501.0722,459293.79689999996
433,138,7612501.0722,448733.79689999996
434,82,7623061.0722,776093.7969
435,82,7623061.0722,765533.7969
436,97,7623061.0722,754973.7969
437,97,7623061.0722,733853.7969
438,309,7623061.0722,723293.7969
439,379,7623061.0722,712733.7969
440,142,7623061.0722,702173.7969
441,218,7623061.0722,691613.7969
442,164,7623061.0722,681053.7969
443,208,7623061.0722,670493.7969
444,366,7623061.0722,659933.7969
445,191,7623061.0722,649373.7969
446,42,7623061.0722,638813.7969
447,61,7623061.0722,628253.7969
448,156,7623061.0722,617693.7969
449,244,7623061.0722,607133.7969
450,52,7623061.0722,596573.7969
451,259,7623061.0722,586013.7969
452,300,7623061.0722,575453.7969
453,12,7623061.0722,564893.7969
454,163,7623061.0722,554333.7969
455,163,7623061.0722,543773.7969
456,163,7623061.0722,533213.7969
457,82,7623061.0722,522653.79689999996
458,82,7623061.0722,512093.79689999996
459,240,7623061.0722,501533.79689999996
460,240,7623061.0722,490973.79689999996
461,85,7623061.0722,480413.79689999996
462,167,7623061.0722,469853.79689999996
463,167,7623061.0722,459293.79689999996
464,138,7623061.0722,448733.79689999996
465,140,7633621.0722,723293.7969
466,77,7633621.0722,712733.7969
467,0,7633621.0722,702173.7969
468,142,7633621.0722,691613.7969
469,133,7633621.0722,681053.7969
470,306,7633621.0722,670493.7969
471,467,7633621.0722,659933.7969
472,221,7633621.0722,649373.7969
473,138,7633621.0722,638813.7969
474,151,7633621.0722,628253.7969
475,80,7633621.0722,617693.7969
476,58,7633621.0722,607133.7969
477,44,7633621.0722,596573.7969
478,110,7633621.0722,586013.7969
479,143,7633621.0722,575453.7969
480,12,7633621.0722,564893.7969
481,163,7633621.0722,554333.7969
482,163,7633621.0722,543773.7969
483,163,7633621.0722,533213.7969
484,163,7633621.0722,522653.79689999996
485,149,7633621.0722,512093.79689999996
486,149,7633621.0722,501533.79689999996
487,149,7633621.0722,490973.79689999996
488,85,7633621.0722,480413.79689999996
489,85,7633621.0722,469853.79689999996
490,85,7633621.0722,459293.79689999996
491,85,7633621.0722,448733.79689999996
492,138,7633621.0722,438173.79689999996
493,0,7644181.0722,691613.7969
494,296,7644181.0722,681053.7969
495,45,7644181.0722,670493.7969
496,85,7644181.0722,659933.7969
497,42,7644181.0722,649373.7969
498,9,7644181.0722,638813.7969
499,164,7644181.0722,628253.7969
500,151,7644181.0722,617693.7969
501,80,7644181.0722,607133.7969
502,170,7644181.0722,596573.7969
503,170,7644181.0722,586013.7969
504,138,7644181.0722,575453.7969
505,138,7644181.0722,564893.7969
506,163,7644181.0722,554333.7969
507,163,7644181.0722,543773.7969
508,163,7644181.0722,533213.7969
509,164,7644181.0722,522653.79689999996
510,164,7644181.0722,512093.79689999996
511,149,7644181.0722,501533.79689999996
512,34,7644181.0722,490973.79689999996
513,34,7644181.0722,480413.79689999996
514,34,7644181.0722,469853.79689999996
515,85,7644181.0722,459293.79689999996
