,id,left,top,right,bottom,geometry,STATEFP,COUNTYFP,TRACTCE,BLKGRPCE,GEOID,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,OBJECTID,UTILITYNAM,CREATIONUS,DATECREATE,DATEMODIFI,LASTUSER,GLOBALID,SHAPE_STAr,SHAPE_STLe,hhinc_<10,hhinc_10-15,hhinc_15-20,hhinc_20-25,hhinc_25-30,hhinc_30-35,hhinc_35-40,hhinc_40-45,hhinc_45-50,hhinc_50-60,hhinc_60-75,hhinc_med
56,57,7364541.9918,640532.1747,7375101.9918,651092.1747,POINT (7364541.9918 640532.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,58,7364541.9918,629972.1747,7375101.9918,640532.1747,POINT (7364541.9918 629972.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,59,7364541.9918,619412.1747,7375101.9918,629972.1747,POINT (7364541.9918 619412.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,60,7364541.9918,608852.1747,7375101.9918,619412.1747,POINT (7364541.9918 608852.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,61,7364541.9918,598292.1747,7375101.9918,608852.1747,POINT (7364541.9918 598292.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,62,7364541.9918,587732.1747,7375101.9918,598292.1747,POINT (7364541.9918 587732.1747),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,63,7364541.9918,577172.1747,7375101.9918,587732.1747,POINT (7364541.9918 577172.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
63,64,7364541.9918,566612.1747,7375101.9918,577172.1747,POINT (7364541.9918 566612.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
64,65,7364541.9918,556052.1747,7375101.9918,566612.1747,POINT (7364541.9918 556052.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
65,66,7364541.9918,545492.1747,7375101.9918,556052.1747,POINT (7364541.9918 545492.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
66,67,7364541.9918,534932.1747,7375101.9918,545492.1747,POINT (7364541.9918 534932.1747),41,071,030502,1,410710305021,Block Group 1,G5030,S,352542675.0,13445.0,+45.1500952,-123.6484109,329.0,PGE,E02641,2018-10-15,2018-10-15,E02641,{BDED2F21-9A0D-4EAE-ACB9-5062C6D62A03},113601558001.0,3373898.83816,37,48,17,90,33,27,9,46,22,30,35,38750
