NAME,B19051_001E,B19051_002E,B19051_003E,B19058_001E,B19058_002E,B19058_003E,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,block group,GEOID
"Block Group 1, Census Tract 238, Clackamas County, Oregon",463,316,147,463,18,445,463,0,0,15,0,31,66,16,15,0,0,28,64,61,20,41,106,41,005,023800,1,410050238001
"Block Group 3, Census Tract 238, Clackamas County, Oregon",200,165,35,200,0,200,200,12,0,0,0,0,0,0,0,0,14,43,15,16,14,52,34,41,005,023800,3,410050238003
"Block Group 5, Census Tract 238, Clackamas County, Oregon",410,269,141,410,27,383,410,0,0,32,0,15,0,32,0,29,63,24,49,45,108,13,0,41,005,023800,5,410050238005
"Block Group 2, Census Tract 216.01, Clackamas County, Oregon",1307,1036,271,1307,359,948,1307,63,17,52,137,115,27,102,17,118,166,198,170,63,62,0,0,41,005,021601,2,410050216012
"Block Group 3, Census Tract 216.01, Clackamas County, Oregon",469,348,121,469,65,404,469,0,38,13,9,41,0,0,15,24,12,78,123,54,42,20,0,41,005,021601,3,410050216013
"Block Group 3, Census Tract 9701, Klamath County, Oregon",282,158,124,282,113,169,282,58,24,12,31,45,28,34,0,0,33,4,13,0,0,0,0,41,035,970100,3,410359701003
"Block Group 1, Census Tract 9701, Klamath County, Oregon",192,185,7,192,39,153,192,0,0,31,12,0,36,0,7,0,0,8,58,33,0,0,7,41,035,970100,1,410359701001
"Block Group 2, Census Tract 30.02, Jackson County, Oregon",625,433,192,625,126,499,625,14,13,75,13,25,0,64,0,16,88,64,65,57,69,62,0,41,029,003002,2,410290030022
"Block Group 1, Census Tract 25, Jackson County, Oregon",475,311,164,475,47,428,475,24,0,0,22,12,5,0,0,10,56,51,50,88,29,75,53,41,029,002500,1,410290025001
"Block Group 2, Census Tract 25, Jackson County, Oregon",306,197,109,306,37,269,306,9,28,5,18,17,18,14,1,18,28,15,38,29,41,4,23,41,029,002500,2,410290025002
"Block Group 2, Census Tract 9, Jackson County, Oregon",1059,769,290,1059,65,994,1059,50,16,28,42,67,27,75,0,31,107,133,185,88,69,14,127,41,029,000900,2,410290009002
"Block Group 1, Census Tract 9, Jackson County, Oregon",426,368,58,426,34,392,426,0,19,36,0,28,0,0,0,12,15,71,52,85,80,0,28,41,029,000900,1,410290009001
"Block Group 1, Census Tract 14, Jackson County, Oregon",1814,1111,703,1814,235,1579,1814,38,25,73,46,90,46,0,34,54,165,180,291,373,83,73,243,41,029,001400,1,410290014001
"Block Group 2, Census Tract 23, Jackson County, Oregon",388,259,129,388,37,351,388,28,0,11,23,8,20,15,21,8,21,24,106,30,12,32,29,41,029,002300,2,410290023002
"Block Group 1, Census Tract 2.01, Jackson County, Oregon",456,358,98,456,256,200,456,35,50,41,5,38,29,50,23,28,32,95,3,18,0,9,0,41,029,000201,1,410290002011
"Block Group 3, Census Tract 2.01, Jackson County, Oregon",542,476,66,542,154,388,542,123,56,52,55,22,104,28,19,0,36,13,8,26,0,0,0,41,029,000201,3,410290002013
"Block Group 1, Census Tract 15, Jackson County, Oregon",359,297,62,359,0,359,359,22,0,0,0,0,16,0,0,29,62,12,54,48,19,24,73,41,029,001500,1,410290015001
"Block Group 2, Census Tract 15, Jackson County, Oregon",822,539,283,822,50,772,822,0,52,73,67,14,36,25,0,50,0,42,174,58,82,27,122,41,029,001500,2,410290015002
"Block Group 2, Census Tract 24, Jackson County, Oregon",339,273,66,339,29,310,339,21,10,27,14,15,10,22,23,9,15,24,5,65,36,19,24,41,029,002400,2,410290024002
"Block Group 1, Census Tract 9505, Umatilla County, Oregon",656,510,146,656,103,553,656,73,14,79,35,10,25,37,28,4,82,68,79,68,0,45,9,41,059,950500,1,410599505001
"Block Group 2, Census Tract 9505, Umatilla County, Oregon",654,459,195,654,79,575,654,26,12,77,19,12,66,30,37,17,51,68,120,22,90,7,0,41,059,950500,2,410599505002
"Block Group 3, Census Tract 9505, Umatilla County, Oregon",154,103,51,154,15,139,154,8,0,36,4,2,4,9,0,2,11,16,18,14,0,14,16,41,059,950500,3,410599505003
"Block Group 2, Census Tract 9507, Umatilla County, Oregon",317,267,50,317,116,201,317,22,34,8,16,11,0,75,20,57,16,11,46,0,0,1,0,41,059,950700,2,410599507002
"Block Group 1, Census Tract 9507, Umatilla County, Oregon",408,364,44,408,86,322,408,18,19,14,34,0,9,30,79,2,21,36,87,0,8,51,0,41,059,950700,1,410599507001
"Block Group 3, Census Tract 9507, Umatilla County, Oregon",295,229,66,295,85,210,295,0,31,0,17,11,17,30,9,0,53,26,64,21,16,0,0,41,059,950700,3,410599507003
"Block Group 2, Census Tract 9509, Umatilla County, Oregon",365,313,52,365,64,301,365,0,33,0,40,0,63,0,7,7,63,32,18,65,10,18,9,41,059,950900,2,410599509002
"Block Group 3, Census Tract 9509, Umatilla County, Oregon",879,654,225,879,118,761,879,0,0,19,37,86,0,51,29,97,111,50,198,50,58,93,0,41,059,950900,3,410599509003
"Block Group 1, Census Tract 9509, Umatilla County, Oregon",494,389,105,494,317,177,494,113,0,85,10,159,0,13,0,10,47,30,0,27,0,0,0,41,059,950900,1,410599509001
"Block Group 1, Census Tract 9502, Umatilla County, Oregon",497,404,93,497,189,308,497,47,79,33,0,0,0,29,10,0,80,91,30,28,0,60,10,41,059,950200,1,410599502001
"Block Group 3, Census Tract 9502, Umatilla County, Oregon",436,415,21,436,40,396,436,34,53,0,0,6,31,0,8,0,39,83,138,11,0,33,0,41,059,950200,3,410599502003
"Block Group 5, Census Tract 9502, Umatilla County, Oregon",401,287,114,401,8,393,401,0,0,31,90,13,53,0,0,44,71,55,0,26,0,10,8,41,059,950200,5,410599502005
"Block Group 4, Census Tract 9502, Umatilla County, Oregon",357,226,131,357,227,130,357,64,51,12,0,28,47,0,0,0,46,53,7,49,0,0,0,41,059,950200,4,410599502004
"Block Group 2, Census Tract 9502, Umatilla County, Oregon",490,399,91,490,165,325,490,70,37,12,69,0,91,0,9,38,23,70,37,10,24,0,0,41,059,950200,2,410599502002
"Block Group 6, Census Tract 9502, Umatilla County, Oregon",206,77,129,206,21,185,206,20,21,0,0,32,13,0,0,30,0,66,24,0,0,0,0,41,059,950200,6,410599502006
"Block Group 1, Census Tract 9514, Umatilla County, Oregon",602,420,182,602,132,470,602,47,33,12,26,25,32,34,49,9,66,50,67,86,0,7,59,41,059,951400,1,410599514001
"Block Group 2, Census Tract 108.02, Marion County, Oregon",534,449,85,534,43,491,534,0,0,18,0,0,14,60,0,16,0,33,108,146,64,27,48,41,047,010802,2,410470108022
"Block Group 4, Census Tract 108.02, Marion County, Oregon",862,683,179,862,207,655,862,5,19,6,4,35,6,88,24,64,110,121,188,74,36,71,11,41,047,010802,4,410470108024
"Block Group 4, Census Tract 18.01, Marion County, Oregon",522,473,49,522,222,300,522,13,0,50,70,104,15,62,0,23,0,68,55,29,0,12,21,41,047,001801,4,410470018014
"Block Group 3, Census Tract 18.01, Marion County, Oregon",476,398,78,476,30,446,476,0,36,0,15,0,43,14,57,48,13,97,95,46,0,12,0,41,047,001801,3,410470018013
"Block Group 2, Census Tract 18.01, Marion County, Oregon",765,469,296,765,116,649,765,52,41,59,0,56,53,85,18,128,62,60,117,34,0,0,0,41,047,001801,2,410470018012
"Block Group 1, Census Tract 228, Clackamas County, Oregon",583,242,341,583,15,568,583,29,17,84,40,17,39,16,30,0,110,65,39,0,31,29,37,41,005,022800,1,410050228001
"Block Group 3, Census Tract 228, Clackamas County, Oregon",279,202,77,279,0,279,279,0,0,35,0,0,0,0,17,0,0,17,35,57,48,31,39,41,005,022800,3,410050228003
"Block Group 2, Census Tract 232.02, Clackamas County, Oregon",717,563,154,717,99,618,717,0,0,0,81,0,72,14,49,14,13,100,133,50,58,49,84,41,005,023202,2,410050232022
"Block Group 2, Census Tract 302.02, Yamhill County, Oregon",353,291,62,353,71,282,353,17,18,33,0,0,11,28,65,43,37,16,26,31,28,0,0,41,071,030202,2,410710302022
"Block Group 1, Census Tract 302.02, Yamhill County, Oregon",915,843,72,915,280,635,915,0,20,0,0,82,27,34,125,86,90,114,205,86,39,1,6,41,071,030202,1,410710302021
"Block Group 2, Census Tract 9503, Baker County, Oregon",511,290,221,511,171,340,511,59,52,11,47,57,36,14,15,31,34,73,13,40,7,5,17,41,001,950300,2,410019503002
"Block Group 3, Census Tract 9503, Baker County, Oregon",213,113,100,213,98,115,213,16,17,30,17,13,13,10,15,9,13,16,11,23,0,0,10,41,001,950300,3,410019503003
"Block Group 3, Census Tract 9501, Baker County, Oregon",518,321,197,518,62,456,518,45,16,15,0,37,26,25,0,44,29,82,76,41,0,51,31,41,001,950100,3,410019501003
"Block Group 1, Census Tract 9501, Baker County, Oregon",396,218,178,396,65,331,396,65,35,15,44,20,32,16,15,8,15,15,41,35,10,24,6,41,001,950100,1,410019501001
"Block Group 3, Census Tract 9504, Baker County, Oregon",302,252,50,302,58,244,302,0,0,27,13,68,8,31,45,8,23,12,8,19,40,0,0,41,001,950400,3,410019504003
"Block Group 1, Census Tract 9504, Baker County, Oregon",681,376,305,681,100,581,681,0,44,42,38,29,52,13,75,49,102,54,43,71,37,20,12,41,001,950400,1,410019504001
"Block Group 1, Census Tract 9506, Baker County, Oregon",248,138,110,248,7,241,248,8,3,0,30,12,16,20,25,30,0,18,47,0,32,0,7,41,001,950600,1,410019506001
"Block Group 3, Census Tract 9502, Baker County, Oregon",477,296,181,477,80,397,477,43,37,112,0,36,28,28,23,0,32,60,27,41,5,0,5,41,001,950200,3,410019502003
"Block Group 2, Census Tract 9505, Baker County, Oregon",254,139,115,254,62,192,254,16,0,11,0,26,13,9,86,11,82,0,0,0,0,0,0,41,001,950500,2,410019505002
"Block Group 1, Census Tract 9505, Baker County, Oregon",742,555,187,742,81,661,742,25,0,40,58,81,84,31,70,10,25,56,79,49,85,15,34,41,001,950500,1,410019505001
"Block Group 1, Census Tract 3611, Josephine County, Oregon",1001,436,565,1001,162,839,1001,128,55,123,27,0,35,28,91,0,150,130,90,62,46,24,12,41,033,361100,1,410333611001
"Block Group 3, Census Tract 3611, Josephine County, Oregon",884,499,385,884,210,674,884,17,41,43,136,121,11,26,41,31,52,176,128,0,0,32,29,41,033,361100,3,410333611003
