,GEOID,hhinc_low
615,410670303001,144
616,410670303003,60
617,410670310035,179
618,410670310034,139
619,410670310031,227
620,410499701002,192
621,410499701003,169
622,410499701005,232
623,410079512001,134
624,410470105012,34
625,410470004001,353
626,410470004002,336
627,410470010002,353
628,410470010003,298
629,410390017001,364
630,410390017003,208
631,410390017004,133
632,410390024011,69
633,410390029021,547
634,410390030002,600
635,410670310033,50
636,410670310062,77
637,410670310061,281
638,410670310064,529
639,410670317062,171
640,410670317063,121
641,410670316101,40
642,410670316104,298
643,410670316103,81
644,410670320013,44
645,410079512003,189
646,410079513001,227
647,410079505001,170
648,410079502002,208
649,410079502001,281
650,410079502003,152
651,410079503001,164
652,410079503004,101
653,410079506001,152
654,410079506003,60
655,410079509001,65
656,410079509002,196
657,410079509003,312
658,410079509004,106
659,410510005022,91
660,410510005025,192
661,410510005021,70
662,410510008023,188
663,410510008024,280
664,410510008022,75
665,410510010004,62
666,410510010003,121
667,410510010002,178
668,410510011011,478
669,410510012012,263
670,410510012014,393
671,410050230012,140
672,410050234031,549
673,410050234043,198
674,410050234044,112
675,410050234041,75
676,410050234042,321
677,410050239022,205
678,410290004051,406
679,410290010014,352
680,410670321033,216
681,410670304013,237
682,410670304023,134
683,410470010001,205
684,410470103031,183
685,410470103032,211
686,410050211001,186
687,410050211003,58
688,410050211002,176
689,410530202031,238
690,410530202033,211
691,410530202032,173
692,410530203023,350
693,410530203024,148
694,410530203022,115
695,410710304002,173
696,410710304005,207
697,410710304001,46
698,410710307012,565
699,410710308011,584
700,410710308012,372
701,410710305023,211
702,410710308022,35
703,410710308021,425
704,410710309002,213
705,410710302023,391
706,410470107011,108
707,410470015031,277
708,410470015033,220
709,410470016011,230
710,410470016012,215
711,410470020001,528
712,410470020002,196
713,410470016031,142
714,410530204003,116
715,410619706001,84
716,410619706004,99
717,410430306003,126
718,410430306004,523
719,410430306002,154
720,410510038022,68
721,410510038021,151
722,410510087001,169
723,410510087003,150
724,410510091022,219
725,410510091021,188
726,410510096041,444
727,410510096042,490
728,410510096052,301
729,410510096051,601
730,410510096062,634
731,410510096061,436
732,410030006003,323
733,410030006002,234
734,410030103002,67
735,410030103001,171
736,410030103003,143
737,410030102002,78
738,410030102003,141
739,410030011012,495
740,410670317042,126
741,410670317044,46
742,410030011011,222
743,410099702005,298
744,410099702001,315
745,410099702004,156
746,410099702003,159
747,410099708002,534
748,410099708003,342
749,410099703003,80
750,410099703004,117
751,410390021022,635
752,410670304022,265
753,410670306003,64
754,410510099034,39
755,410510102003,146
756,410510094005,167
757,410050205051,201
758,410050204031,138
759,410050221071,426
760,410050221072,264
761,410050221052,264
762,410050221051,29
763,410050221081,203
764,410050222061,154
765,410050222051,145
766,410050222052,48
767,410050222081,156
768,410670319073,462
769,410670319081,175
770,410670319082,110
771,410670318132,299
772,410390023023,150
773,410390023021,131
774,410390007081,258
775,410390007073,420
776,410390007072,192
777,410399900000,0
778,410390025041,60
779,410390044053,103
780,410390033022,319
781,410510039015,171
782,410510039014,133
783,410510039013,73
784,410510039011,61
785,410510039012,156
786,410510055001,593
787,410510058005,42
788,410510058003,108
789,410510058004,47
790,410510058001,183
791,410510058002,266
792,410510059001,789
793,410510024013,85
794,410510034022,97
795,410510034023,130
796,410510035014,197
797,410510035012,66
798,410510035011,200
799,410390001004,179
800,410390001001,211
801,410390001003,176
802,410390005003,216
803,410390005002,133
804,410390008002,73
805,410390031011,155
806,410390031012,151
807,410390040003,140
808,410390040002,178
809,410390044014,389
810,410110007001,227
811,410110007007,90
812,410110007003,27
813,410110007008,371
814,410110007004,319
815,410110007006,343
816,410110010006,303
817,410110010007,284
818,410110010001,106
819,410110011001,114
820,410390021023,458
821,410430301003,61
822,410579602001,165
823,410510068011,404
824,410510095012,353
825,410510094002,120
826,410510094003,168
827,410510094004,85
828,410619703002,246
829,410619707001,281
830,410619707003,441
831,410670324062,63
832,410390034001,312
833,410390034002,185
834,410390034003,375
835,410390034004,189
836,410390041002,161
837,410390041001,232
838,410390041003,188
839,410390041004,115
840,410390049001,70
841,410390049003,109
842,410510017021,300
843,410510017022,143
844,410510017023,96
845,410510019004,67
846,410510019001,199
847,410510025011,23
848,410510025015,13
849,410510025014,41
850,410510025016,8
851,410510026002,22
852,410510026003,68
853,410510027022,559
854,410510029021,111
855,410510029022,46
856,410510029024,316
857,410170020001,152
858,410050218013,216
859,410510017013,31
860,410510017012,284
861,410510017017,185
862,410510017014,114
863,410510017015,82
864,410510066021,160
865,410510066022,417
866,410510066023,192
867,410510007021,264
868,410510007023,216
869,410510007022,134
870,410510007024,171
871,410510018011,331
872,410510018012,212
873,410510018021,374
874,410510021002,477
875,410470104002,224
876,410470104003,100
877,410470104004,336
878,410470103053,123
879,410470103051,278
880,410470103052,161
881,410670315091,453
882,410510100022,211
883,410170006001,346
884,410170006002,41
885,410170006004,204
886,410170004021,210
887,410170004022,102
888,410170004023,14
889,410170019023,43
890,410170019024,105
891,410170019021,833
892,410170019022,266
893,410170019011,109
894,410170010021,293
895,410170010011,375
896,410170010015,307
897,410290010012,147
898,410290010011,249
899,410290007005,327
900,410290015004,344
901,410290006014,211
902,410050243031,272
903,410050243032,165
904,410050243042,79
905,410470020003,281
906,410050243041,201
907,410050221032,188
908,410470023033,401
909,410470023031,368
910,410470022021,242
911,410470022022,159
912,410470021012,77
913,410470025012,176
914,410470023041,127
915,410470023042,44
916,410470023044,53
917,410470102021,259
918,410470102023,111
919,410050229041,195
